Conglomerado;Marca;Consentimento API;Dados Cadastrais (PF) API;Dados Cadastrais (PJ) API;Resources API;Contas API;Cartão de Crédito API;Operações de Crédito - Empréstimos API;Operações de Crédito - Financiamentos API;Operações de Crédito - Adiantamento a Depositantes API;Operações de Crédito - Direitos Creditórios Descontados API
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;Nubank;[26-Oct-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/18236120_Nu%20Open%20Banking%201.0.0_consents_v2-OL_17-10-2022.zip);[26-Oct-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/personal/2.0.1/18236120_Nu%20Open%20Banking%201.0.0_personal_v2-OL_10-10-2022.zip);[26-Oct-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/business/2.0.1/18236120_Nu%20Open%20Banking%201.0.0_business_v2-OL_10-10-2022.zip);[26-Oct-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/18236120_Nu%20Open%20Banking%201.0.0_resources_v2-OL_10-10-2022.zip);[26-Oct-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/accounts/2.0.1/18236120_Nu%20Open%20Banking%201.0.0_accounts_v2-OL_10-10-2022.zip);[26-Oct-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/credit-card/2.0.1/18236120_Nu%20Open%20Banking%201.0.0_credit-card_v2-OL_10-10-2022.zip);[26-Oct-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/18236120_Nu%20Open%20Banking%201.0.0_loans_v2-OL_10-10-2022.zip);;;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;BNDES;[31-Oct-2022](https://github.com/OpenBanking-Brasil/conformance/raw/main/submissions/functional/consents/2.0.1/33657248_BNDES%20Open%20Banking%201.2.0_consents_v2-OL_29-09-2022.zip);;[31-Oct-2022](https://github.com/OpenBanking-Brasil/conformance/raw/main/submissions/functional/business/2.0.1/33657248_BNDES%20Open%20Banking%201.2.0_business_v2-OL_28-09-2022.zip);[31-Oct-2022](https://github.com/OpenBanking-Brasil/conformance/raw/main/submissions/functional/resources/2.0.1/33657248_BNDES%20Open%20Banking%201.2.0_resources_v2-OL_29-09-2022.zip);;;;[31-Oct-2022](https://github.com/OpenBanking-Brasil/conformance/raw/main/submissions/functional/financings/2.0.1/33657248_BNDES%20Open%20Banking%201.2.0_financings_v2-OL_28-09-2022.zip);;
